ID_Cuenta,Nombre,Area,Estado_Envio,Presupuesto_Solicitado
1049,Nómina - 943,Comercial,Enviado,453318839
1050,Infraestructura - 652,Tecnología,En Revisión,389749424
1051,Cesantías - 738,Auditoría,En Revisión,120903772
1052,Nómina - 983,Operaciones,Enviado,491899544
1053,Licencias - 127,Auditoría,En Revisión,186995730
1054,Infraestructura - 320,Operaciones,Rechazado,134463784
1055,Licencias - 990,Marketing,Enviado,375013592
1056,Licencias - 162,Operaciones,Pendiente,304123378
1057,Inversión - 712,Riesgos,Pendiente,184665141
1058,Licencias - 278,Marketing,Pendiente,179332243
1059,Cesantías - 797,Operaciones,Enviado,222556804
1060,Pensión Obligatoria - 167,Operaciones,En Revisión,413864346
1061,Licencias - 422,Operaciones,En Revisión,344840418
1062,Pensión Obligatoria - 782,Recursos Humanos,Pendiente,34253369
1063,Cesantías - 996,Auditoría,Rechazado,291932660
1064,Inversión - 165,Marketing,Rechazado,37958056
1065,Cesantías - 407,Marketing,Enviado,220413526
1066,Pensión Obligatoria - 332,Marketing,Rechazado,263826721
1067,Licencias - 746,Riesgos,Enviado,322556751
1068,Nómina - 144,Recursos Humanos,Pendiente,447006341
1069,Fondo Voluntario - 704,Auditoría,Enviado,388412474
1070,Licencias - 805,Legal,En Revisión,300394485
1071,Infraestructura - 916,Auditoría,Rechazado,324883979
1072,Infraestructura - 167,Operaciones,Enviado,136960066
1073,Cesantías - 270,Servicio al Cliente,Pendiente,271431154
1074,Infraestructura - 465,Servicio al Cliente,Enviado,278875410
1075,Pensión Obligatoria - 999,Auditoría,Enviado,206921872
1076,Infraestructura - 352,Servicio al Cliente,En Revisión,28790586
1077,Pensión Obligatoria - 515,Operaciones,Enviado,137661323
1078,Infraestructura - 661,Tecnología,Rechazado,92445795
1079,Infraestructura - 957,Legal,Enviado,17795602
1080,Pensión Obligatoria - 100,Auditoría,Pendiente,188292483
1081,Nómina - 455,Recursos Humanos,Pendiente,410543653
1082,Nómina - 645,Legal,En Revisión,312873056
1083,Licencias - 838,Legal,Rechazado,36225278
1084,Licencias - 112,Operaciones,Rechazado,339276838
1085,Pensión Obligatoria - 285,Recursos Humanos,En Revisión,233588860
1086,Cesantías - 415,Marketing,Enviado,448612226
1087,Cesantías - 885,Marketing,Pendiente,20801856
1088,Licencias - 208,Auditoría,Pendiente,261456505
1089,Pensión Obligatoria - 985,Comercial,En Revisión,253702757
1090,Licencias - 454,Finanzas,Rechazado,210902193
1091,Fondo Voluntario - 513,Riesgos,Pendiente,23849157
1092,Licencias - 582,Finanzas,Enviado,58322416
1093,Licencias - 585,Riesgos,En Revisión,486262775
1094,Nómina - 239,Servicio al Cliente,Enviado,391122296
1095,Fondo Voluntario - 474,Riesgos,En Revisión,272510229
1096,Infraestructura - 429,Tecnología,Pendiente,257081819
1097,Pensión Obligatoria - 126,Finanzas,Rechazado,83836274
1098,Pensión Obligatoria - 571,Comercial,Rechazado,160901142
1099,Fondo Voluntario - 230,Comercial,Enviado,234427306
1100,Licencias - 696,Tecnología,Pendiente,497474570
1101,Inversión - 154,Operaciones,En Revisión,208464411
1102,Cesantías - 475,Operaciones,En Revisión,478610312
1103,Nómina - 430,Operaciones,Rechazado,181075960
1104,Nómina - 363,Comercial,En Revisión,348232694
1105,Cesantías - 924,Recursos Humanos,Enviado,173033643
1106,Licencias - 527,Finanzas,En Revisión,346993821
1107,Cesantías - 411,Legal,Rechazado,250960416
1108,Licencias - 244,Servicio al Cliente,En Revisión,255770140
1109,Licencias - 573,Comercial,Pendiente,379111640
1110,Infraestructura - 804,Finanzas,Pendiente,350648291
1111,Inversión - 414,Finanzas,Rechazado,308621606
1112,Nómina - 333,Auditoría,En Revisión,20545809
1113,Pensión Obligatoria - 122,Operaciones,En Revisión,290028943
1114,Inversión - 182,Riesgos,Pendiente,250897402
1115,Cesantías - 416,Marketing,En Revisión,233841560
1116,Nómina - 231,Legal,Pendiente,69467775
1117,Fondo Voluntario - 701,Recursos Humanos,Rechazado,146865880
1118,Pensión Obligatoria - 541,Recursos Humanos,Enviado,165312523
1119,Nómina - 774,Servicio al Cliente,Enviado,136892617
1120,Nómina - 393,Riesgos,Rechazado,203279109
1121,Pensión Obligatoria - 555,Legal,Enviado,425474881
1122,Pensión Obligatoria - 455,Servicio al Cliente,Pendiente,41662949
1123,Inversión - 114,Recursos Humanos,Pendiente,305628472
1124,Cesantías - 410,Servicio al Cliente,Rechazado,78709685
1125,Fondo Voluntario - 517,Comercial,Pendiente,472052914
1126,Cesantías - 180,Marketing,En Revisión,268833710
1127,Licencias - 799,Recursos Humanos,En Revisión,495977974
1128,Infraestructura - 763,Legal,Rechazado,133158132
1129,Infraestructura - 622,Tecnología,Rechazado,52948496
1130,Fondo Voluntario - 759,Tecnología,Rechazado,56583812
1131,Nómina - 299,Finanzas,En Revisión,388195908
1132,Infraestructura - 909,Recursos Humanos,Rechazado,86219390
1133,Cesantías - 277,Servicio al Cliente,Rechazado,110781552
1134,Inversión - 420,Marketing,Pendiente,101129296
1135,Inversión - 948,Recursos Humanos,Rechazado,190849426
1136,Inversión - 343,Servicio al Cliente,Enviado,54536156
1137,Cesantías - 934,Riesgos,Pendiente,458481098
1138,Infraestructura - 914,Marketing,Enviado,442111437
1139,Licencias - 251,Legal,En Revisión,324681878
1140,Cesantías - 607,Comercial,Enviado,53434273
1141,Nómina - 757,Finanzas,Pendiente,280304351
1142,Pensión Obligatoria - 365,Tecnología,Rechazado,402670693
1143,Nómina - 150,Servicio al Cliente,Pendiente,335761933
1144,Licencias - 825,Servicio al Cliente,En Revisión,257708726
1145,Nómina - 904,Tecnología,En Revisión,466978511
1146,Fondo Voluntario - 684,Legal,Rechazado,272500245
1147,Infraestructura - 896,Tecnología,Enviado,366233187
1148,Licencias - 587,Auditoría,Rechazado,447098656
1149,Pensión Obligatoria - 941,Recursos Humanos,Rechazado,161127554
1150,Nómina - 668,Auditoría,En Revisión,173446903
1151,Nómina - 227,Recursos Humanos,En Revisión,365365129
1152,Inversión - 295,Legal,En Revisión,85940185
1153,Nómina - 159,Comercial,Pendiente,127139011
1154,Inversión - 649,Recursos Humanos,En Revisión,401227014
1155,Nómina - 925,Marketing,En Revisión,385693956
1156,Nómina - 630,Comercial,Enviado,141675232
1157,Infraestructura - 686,Marketing,Rechazado,438049924
1158,Licencias - 867,Tecnología,En Revisión,166370958
1159,Infraestructura - 338,Operaciones,Rechazado,451401933
1160,Inversión - 867,Comercial,En Revisión,78322450
1161,Nómina - 557,Recursos Humanos,Enviado,273004149
1162,Fondo Voluntario - 262,Servicio al Cliente,En Revisión,417408518
1163,Fondo Voluntario - 593,Tecnología,Pendiente,188265389
1164,Fondo Voluntario - 917,Comercial,Enviado,176638592
1165,Infraestructura - 631,Comercial,Pendiente,359843413
1166,Inversión - 939,Tecnología,En Revisión,421378236
1167,Cesantías - 707,Operaciones,Enviado,270407126
1168,Fondo Voluntario - 427,Servicio al Cliente,Pendiente,23976804
1169,Pensión Obligatoria - 959,Recursos Humanos,Enviado,226465736
1170,Inversión - 812,Comercial,En Revisión,368578646
1171,Inversión - 289,Operaciones,Pendiente,168134921
1172,Fondo Voluntario - 547,Servicio al Cliente,En Revisión,439121964
1173,Licencias - 130,Legal,Rechazado,499993136
1174,Pensión Obligatoria - 995,Auditoría,Enviado,375671864
1175,Cesantías - 611,Servicio al Cliente,Pendiente,305596347
1176,Infraestructura - 381,Recursos Humanos,En Revisión,79594275
1177,Fondo Voluntario - 538,Comercial,En Revisión,344122392
1178,Nómina - 760,Legal,Enviado,268249303
1179,Inversión - 889,Auditoría,Pendiente,344811566
1180,Pensión Obligatoria - 740,Finanzas,Rechazado,415401020
1181,Inversión - 209,Auditoría,Enviado,370537091
1182,Inversión - 493,Recursos Humanos,Rechazado,449333468
1183,Fondo Voluntario - 309,Legal,En Revisión,59794578
1184,Nómina - 113,Riesgos,Enviado,475695977
1185,Infraestructura - 892,Auditoría,Pendiente,38528265
1186,Infraestructura - 591,Comercial,En Revisión,365389204
1187,Cesantías - 856,Comercial,Pendiente,223615968
1188,Cesantías - 706,Auditoría,Enviado,120880608
1189,Cesantías - 522,Riesgos,Rechazado,234585998
1190,Inversión - 297,Riesgos,Rechazado,454848331
1191,Licencias - 834,Servicio al Cliente,Enviado,164401590
1192,Fondo Voluntario - 839,Comercial,Pendiente,316873127
1193,Cesantías - 487,Operaciones,Enviado,75831859
1194,Pensión Obligatoria - 165,Legal,Rechazado,416974183
1195,Cesantías - 696,Marketing,Enviado,206642048
1196,Cesantías - 300,Tecnología,Rechazado,351144021
1197,Inversión - 149,Comercial,En Revisión,60062872
1198,Pensión Obligatoria - 347,Finanzas,Rechazado,216301252
1199,Inversión - 829,Recursos Humanos,Enviado,114041961
1200,Infraestructura - 710,Tecnología,Pendiente,453842599
1201,Fondo Voluntario - 665,Tecnología,Pendiente,67152045
1202,Licencias - 905,Legal,En Revisión,25853593
1203,Nómina - 454,Marketing,En Revisión,402796613
1204,Fondo Voluntario - 372,Riesgos,Enviado,493283799
1205,Inversión - 657,Servicio al Cliente,Rechazado,477007194
1206,Infraestructura - 794,Finanzas,En Revisión,368919538
1207,Inversión - 683,Legal,Enviado,69044229
1208,Fondo Voluntario - 536,Recursos Humanos,Pendiente,228605112
1209,Infraestructura - 858,Comercial,Enviado,420505208
1210,Inversión - 210,Riesgos,Enviado,420959518
1211,Licencias - 680,Finanzas,En Revisión,70977155
1212,Infraestructura - 843,Marketing,Pendiente,449448979
1213,Cesantías - 883,Recursos Humanos,En Revisión,396814926
1214,Pensión Obligatoria - 735,Auditoría,Pendiente,494676666
1215,Pensión Obligatoria - 460,Operaciones,Enviado,285771538
1216,Licencias - 733,Recursos Humanos,Enviado,52044779
1217,Fondo Voluntario - 818,Auditoría,En Revisión,22471574
1218,Cesantías - 947,Servicio al Cliente,Pendiente,234658061
1219,Nómina - 228,Servicio al Cliente,Enviado,302849827
1220,Inversión - 192,Servicio al Cliente,Enviado,114679394
1221,Licencias - 537,Finanzas,Pendiente,91858741
1222,Cesantías - 862,Tecnología,Enviado,110113580
1223,Fondo Voluntario - 288,Comercial,En Revisión,247626125
1224,Licencias - 973,Auditoría,Pendiente,316229865
1225,Pensión Obligatoria - 975,Marketing,Enviado,372065595
1226,Pensión Obligatoria - 668,Operaciones,En Revisión,225925935
1227,Fondo Voluntario - 942,Finanzas,Enviado,261047634
1228,Infraestructura - 246,Marketing,Pendiente,202011802
1229,Cesantías - 882,Servicio al Cliente,Enviado,233321360
1230,Cesantías - 836,Riesgos,En Revisión,494616533
1231,Inversión - 967,Operaciones,Rechazado,228746571
1232,Infraestructura - 446,Riesgos,Pendiente,418743454
1233,Cesantías - 851,Comercial,En Revisión,486115528
1234,Pensión Obligatoria - 100,Operaciones,Enviado,322758444
1235,Inversión - 326,Servicio al Cliente,Enviado,141136811
1236,Licencias - 123,Recursos Humanos,Pendiente,52125789
1237,Nómina - 271,Tecnología,Enviado,312551278
1238,Cesantías - 240,Finanzas,Rechazado,332356374
1239,Pensión Obligatoria - 559,Operaciones,Pendiente,379385476
1240,Licencias - 967,Finanzas,En Revisión,72391563
1241,Inversión - 809,Riesgos,Rechazado,119615967
1242,Inversión - 361,Tecnología,En Revisión,68509435
1243,Licencias - 467,Marketing,Rechazado,389018803
1244,Fondo Voluntario - 566,Tecnología,En Revisión,291027299
1245,Infraestructura - 780,Auditoría,Pendiente,220588993
1246,Pensión Obligatoria - 737,Riesgos,Pendiente,80771462
1247,Pensión Obligatoria - 836,Recursos Humanos,Enviado,499154381
1248,Cesantías - 567,Auditoría,En Revisión,332370300
1249,Infraestructura - 689,Tecnología,En Revisión,145454697
1250,Infraestructura - 984,Auditoría,Enviado,331427095
1251,Fondo Voluntario - 990,Auditoría,Enviado,337340372
1252,Cesantías - 859,Marketing,Rechazado,98819204
1253,Cesantías - 962,Tecnología,Rechazado,136850904
1254,Cesantías - 715,Auditoría,En Revisión,128117240
1255,Fondo Voluntario - 668,Operaciones,Enviado,137377648
1256,Nómina - 622,Riesgos,Enviado,190476998
1257,Pensión Obligatoria - 241,Tecnología,Pendiente,39490886
1258,Fondo Voluntario - 752,Comercial,Pendiente,281241026
1259,Cesantías - 819,Riesgos,Enviado,25844098
1260,Pensión Obligatoria - 343,Auditoría,Enviado,163659269
1261,Cesantías - 316,Auditoría,Enviado,460147759
1262,Cesantías - 150,Servicio al Cliente,En Revisión,144858866
1263,Infraestructura - 607,Tecnología,Enviado,68040741
1264,Infraestructura - 672,Marketing,Enviado,475462835
1265,Pensión Obligatoria - 490,Finanzas,En Revisión,43311872
1266,Pensión Obligatoria - 134,Recursos Humanos,Pendiente,177806274
1267,Infraestructura - 750,Auditoría,Rechazado,43598128
1268,Inversión - 756,Riesgos,En Revisión,414783571
1269,Fondo Voluntario - 382,Recursos Humanos,En Revisión,354019968
1270,Cesantías - 585,Recursos Humanos,En Revisión,419587840
1271,Fondo Voluntario - 796,Servicio al Cliente,Enviado,206718306
1272,Infraestructura - 588,Riesgos,Pendiente,333780820
1273,Inversión - 323,Riesgos,Pendiente,476050805
1274,Inversión - 418,Marketing,Enviado,95638414
1275,Cesantías - 446,Servicio al Cliente,En Revisión,265186585
1276,Nómina - 896,Comercial,Pendiente,483059923
1277,Pensión Obligatoria - 352,Recursos Humanos,Enviado,112484864
1278,Fondo Voluntario - 661,Comercial,Rechazado,56536323
1279,Licencias - 694,Operaciones,Rechazado,332243753
1280,Licencias - 622,Marketing,En Revisión,242996847
1281,Inversión - 566,Operaciones,Rechazado,165387077
1282,Cesantías - 263,Legal,Pendiente,297614628
1283,Infraestructura - 979,Auditoría,Pendiente,91435477
1284,Licencias - 638,Servicio al Cliente,En Revisión,320575709
1285,Fondo Voluntario - 757,Recursos Humanos,En Revisión,479369551
1286,Cesantías - 384,Finanzas,Enviado,13000693
1287,Pensión Obligatoria - 981,Marketing,Enviado,58717641
1288,Infraestructura - 366,Comercial,Rechazado,344465609
1289,Infraestructura - 414,Recursos Humanos,En Revisión,476766159
1290,Pensión Obligatoria - 465,Recursos Humanos,Enviado,290753908
1291,Infraestructura - 532,Tecnología,Rechazado,157093555
1292,Infraestructura - 198,Finanzas,Rechazado,213044861
1293,Licencias - 339,Auditoría,Rechazado,261641107
1294,Cesantías - 387,Legal,Enviado,103925147
1295,Pensión Obligatoria - 258,Tecnología,En Revisión,227092169
1296,Infraestructura - 390,Marketing,Enviado,406878670
1297,Cesantías - 325,Operaciones,Rechazado,384431779
1298,Inversión - 318,Servicio al Cliente,Enviado,369740832
1299,Cesantías - 348,Marketing,Rechazado,219428607
1300,Nómina - 748,Operaciones,Enviado,330216867
1301,Licencias - 897,Auditoría,Rechazado,487985110
1302,Infraestructura - 768,Marketing,Enviado,92832905
1303,Infraestructura - 147,Recursos Humanos,Rechazado,292494836
1304,Cesantías - 985,Recursos Humanos,Rechazado,245245062
1305,Inversión - 820,Riesgos,Rechazado,405576298
1306,Inversión - 981,Recursos Humanos,Pendiente,395505286
1307,Infraestructura - 140,Tecnología,Rechazado,435610564
1308,Fondo Voluntario - 298,Riesgos,Rechazado,446851316
1309,Nómina - 828,Riesgos,En Revisión,231357740
1310,Inversión - 960,Finanzas,En Revisión,113073294
1311,Pensión Obligatoria - 596,Recursos Humanos,Pendiente,9526012
1312,Infraestructura - 784,Tecnología,Rechazado,181151391
1313,Licencias - 982,Auditoría,Pendiente,170569613
1314,Fondo Voluntario - 558,Riesgos,Pendiente,112024866
1315,Pensión Obligatoria - 790,Legal,Pendiente,350150031
1316,Cesantías - 251,Servicio al Cliente,Rechazado,227507232
1317,Infraestructura - 501,Finanzas,Enviado,81460028
1318,Pensión Obligatoria - 530,Operaciones,En Revisión,82168693
1319,Cesantías - 217,Riesgos,En Revisión,494638938
1320,Infraestructura - 516,Finanzas,Pendiente,426467576
1321,Nómina - 753,Servicio al Cliente,En Revisión,11562084
1322,Cesantías - 163,Riesgos,Pendiente,224104872
1323,Cesantías - 243,Riesgos,Pendiente,474305528
1324,Infraestructura - 520,Servicio al Cliente,Pendiente,66892551
1325,Inversión - 110,Tecnología,Enviado,53787286
1326,Cesantías - 229,Legal,En Revisión,494960728
1327,Cesantías - 608,Servicio al Cliente,Enviado,235533948
1328,Licencias - 935,Comercial,Enviado,167152025
1329,Licencias - 828,Recursos Humanos,Pendiente,160280518
1330,Cesantías - 601,Servicio al Cliente,En Revisión,277884472
1331,Fondo Voluntario - 387,Auditoría,Pendiente,224305562
1332,Inversión - 518,Comercial,Pendiente,268795200
1333,Nómina - 673,Legal,En Revisión,31521230
1334,Infraestructura - 746,Auditoría,En Revisión,263769573
1335,Inversión - 999,Auditoría,Pendiente,126005461
1336,Licencias - 956,Riesgos,Enviado,294906910
1337,Pensión Obligatoria - 341,Operaciones,Pendiente,174157984
1338,Nómina - 917,Comercial,Pendiente,174652279
1339,Pensión Obligatoria - 284,Marketing,En Revisión,437827190
1340,Pensión Obligatoria - 912,Legal,En Revisión,380098150
1341,Nómina - 198,Riesgos,Rechazado,461782703
1342,Cesantías - 964,Legal,Pendiente,320040064
1343,Infraestructura - 668,Servicio al Cliente,Enviado,158378551
1344,Inversión - 882,Finanzas,Enviado,19002691
1345,Inversión - 428,Recursos Humanos,En Revisión,288182830
1346,Licencias - 490,Auditoría,Rechazado,231959486
1347,Cesantías - 143,Servicio al Cliente,Enviado,150051970
1348,Nómina - 582,Servicio al Cliente,Enviado,243908014
1349,Licencias - 729,Auditoría,En Revisión,30485822
1350,Inversión - 668,Recursos Humanos,Enviado,291766980
1351,Pensión Obligatoria - 454,Operaciones,En Revisión,45642835
1352,Cesantías - 633,Marketing,Rechazado,359875894
1353,Cesantías - 578,Riesgos,Rechazado,228736328
1354,Inversión - 696,Comercial,Rechazado,177141368
1355,Licencias - 975,Marketing,Enviado,37800324
1356,Inversión - 823,Servicio al Cliente,Pendiente,188355225
1357,Licencias - 337,Marketing,Pendiente,108512322
1358,Pensión Obligatoria - 234,Servicio al Cliente,Rechazado,226366977
1359,Infraestructura - 702,Comercial,Rechazado,289737405
1360,Fondo Voluntario - 216,Comercial,En Revisión,40587105
1361,Infraestructura - 727,Tecnología,En Revisión,193522173
1362,Nómina - 454,Servicio al Cliente,Rechazado,360105346
1363,Infraestructura - 993,Marketing,Enviado,477109473
1364,Cesantías - 412,Marketing,Enviado,120118314
1365,Licencias - 675,Comercial,Rechazado,40132110
1366,Fondo Voluntario - 168,Operaciones,Enviado,498197445
1367,Inversión - 254,Operaciones,Pendiente,381296461
1368,Licencias - 744,Marketing,Rechazado,320671332
1369,Pensión Obligatoria - 525,Legal,Enviado,108268915
1370,Licencias - 240,Finanzas,En Revisión,88163703
1371,Nómina - 842,Comercial,Rechazado,447989402
1372,Nómina - 694,Comercial,Pendiente,253032232
1373,Nómina - 192,Legal,Enviado,247689902
1374,Inversión - 731,Finanzas,Rechazado,330080576
1375,Nómina - 628,Auditoría,En Revisión,365129991
1376,Inversión - 426,Auditoría,Enviado,206369585
1377,Infraestructura - 388,Legal,Rechazado,182214884
1378,Cesantías - 416,Legal,Enviado,359872021
1379,Cesantías - 378,Legal,Pendiente,345360709
1380,Inversión - 654,Auditoría,Pendiente,363152850
1381,Nómina - 571,Tecnología,Pendiente,413374579
1382,Licencias - 647,Servicio al Cliente,Enviado,454552998
1383,Cesantías - 320,Marketing,Pendiente,121466894
1384,Licencias - 703,Tecnología,Enviado,38083103
1385,Inversión - 359,Legal,Rechazado,344154656
1386,Pensión Obligatoria - 292,Recursos Humanos,En Revisión,128548777
1387,Fondo Voluntario - 219,Comercial,Rechazado,423581310
1388,Pensión Obligatoria - 715,Riesgos,Pendiente,203868516
1389,Infraestructura - 848,Operaciones,En Revisión,270050023
1390,Infraestructura - 858,Riesgos,En Revisión,135250639
1391,Cesantías - 313,Recursos Humanos,En Revisión,358950316
1392,Infraestructura - 693,Auditoría,Rechazado,44614728
1393,Licencias - 329,Tecnología,Pendiente,230707215
1394,Pensión Obligatoria - 326,Legal,Pendiente,435343735
1395,Cesantías - 965,Operaciones,Enviado,211024734
1396,Licencias - 928,Auditoría,En Revisión,104207541
1397,Inversión - 462,Recursos Humanos,Pendiente,251445498
1398,Licencias - 167,Operaciones,Pendiente,170807855
1399,Licencias - 110,Finanzas,Rechazado,381336888
1400,Fondo Voluntario - 257,Auditoría,En Revisión,147245966
1401,Infraestructura - 168,Finanzas,En Revisión,88947907
1402,Inversión - 116,Marketing,En Revisión,376532106
1403,Inversión - 828,Marketing,Enviado,295798897
1404,Nómina - 885,Marketing,Pendiente,387485607
1405,Nómina - 748,Marketing,Rechazado,241676296
1406,Nómina - 478,Comercial,En Revisión,274660792
1407,Cesantías - 750,Marketing,Enviado,393537868
1408,Pensión Obligatoria - 664,Auditoría,Enviado,104476893
1409,Licencias - 266,Recursos Humanos,En Revisión,400118751
1410,Cesantías - 643,Riesgos,En Revisión,337238869
1411,Pensión Obligatoria - 985,Recursos Humanos,Pendiente,461821499
1412,Licencias - 588,Operaciones,Pendiente,441427619
1413,Licencias - 971,Operaciones,En Revisión,450428430
1414,Nómina - 885,Legal,Pendiente,471651127
1415,Infraestructura - 211,Marketing,Pendiente,31557165
1416,Infraestructura - 377,Operaciones,Pendiente,170745535
1417,Fondo Voluntario - 989,Servicio al Cliente,En Revisión,372102604
1418,Fondo Voluntario - 595,Tecnología,Pendiente,430770092
1419,Pensión Obligatoria - 870,Legal,Rechazado,301553361
1420,Cesantías - 624,Recursos Humanos,Pendiente,204883647
1421,Inversión - 491,Operaciones,Rechazado,18703004
1422,Pensión Obligatoria - 253,Riesgos,Enviado,324849074
1423,Nómina - 180,Operaciones,En Revisión,296285836
1424,Infraestructura - 560,Recursos Humanos,Pendiente,441697517
1425,Fondo Voluntario - 931,Servicio al Cliente,Rechazado,77893905
1426,Inversión - 493,Operaciones,Enviado,218672254
1427,Pensión Obligatoria - 587,Riesgos,Rechazado,188919273
1428,Infraestructura - 817,Servicio al Cliente,Pendiente,14647943
1429,Infraestructura - 998,Recursos Humanos,En Revisión,53593455
1430,Inversión - 178,Finanzas,Rechazado,423399465
1431,Nómina - 600,Servicio al Cliente,Pendiente,294241907
1432,Fondo Voluntario - 912,Tecnología,Enviado,311255669
1433,Licencias - 574,Legal,En Revisión,6185446
1434,Inversión - 974,Servicio al Cliente,Rechazado,493715190
1435,Pensión Obligatoria - 423,Auditoría,En Revisión,110408487
1436,Pensión Obligatoria - 731,Tecnología,En Revisión,489941066
1437,Pensión Obligatoria - 705,Finanzas,Enviado,451994614
1438,Nómina - 255,Operaciones,Enviado,472073953
1439,Nómina - 721,Recursos Humanos,Enviado,98833859
1440,Inversión - 875,Comercial,Rechazado,96838937
1441,Cesantías - 614,Riesgos,En Revisión,28528761
1442,Inversión - 684,Servicio al Cliente,Enviado,162025826
1443,Pensión Obligatoria - 519,Comercial,En Revisión,468435388
1444,Cesantías - 151,Auditoría,Pendiente,320095241
1445,Inversión - 964,Marketing,En Revisión,139453817
1446,Licencias - 523,Finanzas,En Revisión,297317071
1447,Pensión Obligatoria - 660,Comercial,Rechazado,287444322
1448,Fondo Voluntario - 809,Finanzas,En Revisión,44489889
1449,Licencias - 916,Comercial,Pendiente,76127189
1450,Cesantías - 195,Finanzas,Rechazado,389861804
1451,Nómina - 981,Operaciones,Rechazado,102292541
1452,Nómina - 498,Operaciones,Pendiente,364871110
1453,Nómina - 980,Riesgos,En Revisión,20029117
1454,Cesantías - 924,Servicio al Cliente,Rechazado,83785999
1455,Inversión - 809,Marketing,Enviado,412756720
1456,Inversión - 932,Servicio al Cliente,Enviado,382327279
1457,Nómina - 622,Legal,Rechazado,324491929
1458,Licencias - 251,Servicio al Cliente,Enviado,431727556
1459,Pensión Obligatoria - 748,Marketing,Pendiente,415921031
1460,Inversión - 655,Finanzas,En Revisión,70917660
1461,Fondo Voluntario - 835,Recursos Humanos,En Revisión,289030989
1462,Licencias - 140,Riesgos,Enviado,242439551
1463,Cesantías - 953,Comercial,En Revisión,319037319
1464,Nómina - 735,Operaciones,En Revisión,32612130
1465,Nómina - 727,Auditoría,Pendiente,385307919
1466,Inversión - 727,Tecnología,Pendiente,431181811
1467,Infraestructura - 531,Recursos Humanos,Pendiente,148728867
1468,Fondo Voluntario - 696,Marketing,En Revisión,132735537
1469,Nómina - 462,Marketing,Pendiente,292064511
1470,Nómina - 355,Comercial,En Revisión,365096358
1471,Inversión - 208,Comercial,Rechazado,185088178
1472,Inversión - 482,Comercial,Pendiente,148729577
1473,Infraestructura - 339,Tecnología,Enviado,176285432
1474,Nómina - 403,Operaciones,En Revisión,169544675
1475,Pensión Obligatoria - 935,Legal,En Revisión,170026125
1476,Infraestructura - 180,Finanzas,Enviado,55561881
1477,Fondo Voluntario - 913,Finanzas,Pendiente,363229541
1478,Pensión Obligatoria - 227,Operaciones,Pendiente,426056064
1479,Inversión - 665,Tecnología,En Revisión,112165427
